name,growth_rate,exposure,soil,hardiness,water,height,spread,colourInSummer,colourInFall,colourPetals,slideShow
pearly everlasting,Fast,"Full sun, Part sun/part shade","Rocky or gravelly or dry, Well-drained",Zone 4: (-34 to -29 C),,0.7,0.6,,,"Showy, White, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5003BF40>
bog rosemary,Slow,"Filtered shade, Full sun","Acidic, Bog",Zone 2: (-46 to -40 C),,0.4,0.6,,,"Showy, White, Pink",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51ACEA60>
big bluestem grass,Fast,Full sun,,Zone 4: (-34 to -29 C),,0.7,0.6,"Dark-red, Dark-green","Dark-red, Bronze","Showy, Green-yellow, Red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51AF6A60>
"New Zealand wind grass, wind grass, pheasant grass",Moderate,"Filtered shade, Full sun, Part sun/part shade",Well-drained,Zone 7: (-18 to -12 C),Moderate,1.3,1.5,,Orange,Yellow,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF502DE9A0>
"Japanese windflower , anemone",Fast,"Filtered shade, Full sun, Part sun/part shade","Acidic, Well-drained",Zone 5: (-29 to -23 C),"Low, Moderate",0.7,0.6,,"Green, Green-yellow","Showy, White, Pink",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51FB35E0>
"Greek windflower, blue wood anemone",,"Filtered shade, Full sun, Part sun/part shade, Sheltered","Humus rich, Well-drained",Zone 5: (-29 to -23 C),Summer dry,0.2,0.3,,,"Showy, White, Blue, Pink, Purple",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50052A30>
anemone,Fast,"Full sun, Part sun/part shade","Acidic, Alkaline",Zone 8b: (-9.4 to -7 C),,0.4,0.3,,,"White, Blue, Red, Purple, Pink",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51A883A0>
"pilsatilla, pasque flower",Fast,"Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 4: (-34 to -29 C),Moderate,0.4,0.3,,Yellow,"Showy, White, Purple, Violet",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51DE9820>
snowdrop anemone,Fast,"Filtered shade, Full sun, Part sun/part shade",Well-drained,Zone 3: (-40 to -34 C),,0.7,1.0,,Yellow,"Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51BD8160>
dill,Fast,"Full sun, Sheltered","Humus rich, Well-drained",Zone 7: (-18 to -12 C),Moderate,0.7,0.6,"Bluish, Green",Yellow,"Showy, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51C34E20>
giant angelica,Moderate,"Full sun only if soil kept moist, Part sun/part shade","Acidic, Humus rich",Zone 4: (-34 to -29 C),,2.0,1.5,,Green-yellow,"Showy, Purple, Dark-red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF519282B0>
summer snapdragon,Fast,Full sun,,Zone 9: (-7 to -1 C),,0.4,0.3,,,"Showy, White, Blue, Pink, Purple, Red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51D28370>
pussy toes,Slow,"Full sun, Part sun/part shade","Acidic, Alkaline",Zone 3: (-40 to -34 C),,0.1,0.6,,,"Showy, White, Pink",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51CBE160>
anthurium,,,Well-drained,Zone 10: (-1 to 4 C),Low,1.3,0.6,,,"Showy, White, Violet, Pink, Red, Dark-red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51E34100>
snapdragon,Fast,"Full sun, Part sun/part shade","Alkaline, Well-drained",Zone 7: (-18 to -12 C),Moderate,0.7,0.3,,Dark-green,"Showy, White, Yellow, Orange, Pink, Red, Bronze, Violet, Dark-red, Magenta",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51D83E20>
zebra plant,,"Part sun/part shade, Sheltered",Well-drained,Zone 10: (-1 to 4 C),Moderate,0.7,0.6,,,"Showy, Yellow, (The bracts are quite showy.)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x937 at 0x7FBF51CB1550>
hybrid columbine,Moderate,"Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 4: (-34 to -29 C),Moderate,0.4,0.3,"Bluish, Green","Yellow, Brown","Showy, White, Violet, Blue, Yellow, Pink, Red, (colour of petal spurs, lamina and sepals vary with cv.)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51CCE820>
European columbine,,"Full sun, Part sun/part shade",,Zone 3: (-40 to -34 C),,1.3,0.6,,,"Showy, White, Violet, Pink, Red, Blue, (usually blue to violet)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50601E20>
Compinkie rock cress,,,,Zone 5: (-29 to -23 C),,0.1,0.3,,,"Showy, Pink",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51D91160>
coast rock cress,Moderate,Full sun,,Zone 5: (-29 to -23 C),,0.1,0.3,,,"Showy, Pink, Purple",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x934 at 0x7FBF506A0F10>
rock cress,Moderate,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 3: (-40 to -34 C),Moderate,0.2,0.6,,,"Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51BB3160>
Japanese angelica tree,Moderate,"Full sun, Part sun/part shade, Sheltered",Humus rich,Zone 5: (-29 to -23 C),Moderate,10,10,,"Yellow, Orange, Purple","Showy, White, Green",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50653040>
monkey puzzle tree,Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 7: (-18 to -12 C),Moderate,30,15,,Green,"Male Cone, Brown",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50312F10>
Norfolk Island pine,,,Well-drained,Zone 9: (-7 to -1 C),Moderate,5,3,,,"Male Cone, Yellow, Brown",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51B41730>
"arbutus, madrona",Slow,Full sun,"Acidic, Rocky or gravelly or dry",Zone 7: (-18 to -12 C),"Low, Summer dry",30,15,,,White,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50315EB0>
strawberry tree,Moderate,"Full sun, Part sun/part shade, Sheltered",Well-drained,Zone 7: (-18 to -12 C),Moderate,5,5,"Green, Dark-green","Green, Dark-green","Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50388A30>
"bearberry, kinnikinnick",Slow,"Full sun, Part sun/part shade","Acidic, Rocky or gravelly or dry, Well-drained",Zone 4: (-34 to -29 C),Low,0.2,1.5,,Bronze,"Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51FE0F10>
African daisy,Fast,Full sun,Well-drained,Zone 9: (-7 to -1 C),Moderate,0.4,0.3,"Dark-green, Green, Silver / Grayish",,"Showy, White, Red, Pink, Yellow, Orange, Purple, Magenta, Dark-red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51C7B820>
mountain sandwort,Moderate,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 2: (-46 to -40 C),Low,0.2,0.3,"Green, Silver / Grayish","Green, Silver / Grayish","Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF507E2C10>
"Marguerite daisy, cobbitty daisy",Fast,"Full sun, Part sun/part shade",Well-drained,Zone 10: (-1 to 4 C),Moderate,1.3,1.0,,,"White, Yellow, Pink",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF507FE160>
"atlas broom, pineapple broom",Fast,Full sun,,Zone 7: (-18 to -12 C),,5,5,,,"Showy, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF519228B0>
Japanese Jack-in-the-pulpit,Slow,"Deep shade, Filtered shade, Part sun/part shade","Humus rich, Well-drained",Zone 5: (-29 to -23 C),Low,0.4,0.6,"Green, Yellow","Yellow, Brown","Showy, White, Purple",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50277B50>
Dutchman's pipe,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 4: (-34 to -29 C),Moderate,7,5,,,"Not showy, Green, Yellow, Purple, Brown, (mottled)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5026B340>
hybrid thrift,Moderate,"Full sun, Part sun/part shade",,Zone 4: (-34 to -29 C),,0.4,0.3,,,"Showy, Pink, Red, Purple, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50272940>
thrift,Slow,"Full sun, Part sun/part shade",Well-drained,Zone 4: (-34 to -29 C),,0.4,0.3,,Green,"Showy, Pink",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50384A60>
perennial armeria,Moderate,Full sun,Well-drained,Zone 6: (-23 to -18 C),Low,0.4,0.3,,Green,"Showy, White, Pink",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF502D26A0>
horseradish,Fast,Full sun,,Zone 2: (-46 to -40 C),,1.3,2.0,,Yellow,"Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5075FBB0>
black chokeberry,Moderate,"Full sun, Part sun/part shade","Bog, Well-drained",Zone 4: (-34 to -29 C),Low,2.0,2.0,,"Dark-green, Purple, Red, Dark-red","Showy, White, Pink",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x836 at 0x7FBF502D1E80>
variegated bulbous oat grass,Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 4: (-34 to -29 C),Moderate,0.4,0.6,"Green, Silver / Grayish, white striped margins",,"Showy, Green, Silver",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5000DE80>
Powis Castle artemisia,Fast,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 6: (-23 to -18 C),"Summer dry, Winter dry",0.7,0.6,,Silver / Grayish,"Yellow, Brown",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50716100>
French tarragon,,"Full sun, Part sun/part shade",Well-drained,Zone 4: (-34 to -29 C),,0.7,0.3,"Green, Silver / Grayish",,"White, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5069A9D0>
Guizhou white mugwort,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 3: (-40 to -34 C),Moderate,2.0,0.6,"Green, Nearly White, Dark-green","Green, Nearly White","Showy, White, (cream)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF500192E0>
Valerie Finnis artemisia,Fast,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 5: (-29 to -23 C),"Summer dry, Winter dry",0.7,1.5,,Silver / Grayish,"Not showy, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51CE4C70>
"silvermound, wormwood, silver mound",Fast,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 3: (-40 to -34 C),"Summer dry, Winter dry",0.4,0.6,,Silver / Grayish,Yellow,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51CAFC70>
Silver Brocade artemisia,Moderate,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 3: (-40 to -34 C),"Summer dry, Winter dry",0.2,1.0,,Silver / Grayish,Yellow,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5194C160>
painted arum,Slow,"Deep shade, Filtered shade, Part sun/part shade","Humus rich, Well-drained",Zone 5: (-29 to -23 C),Low,0.4,0.3,,"Dark-green, Yellow, White","Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51A199A0>
goat's beard,Fast,"Deep shade, Filtered shade, Full sun only if soil kept moist, Part sun/part shade","Humus rich, Well-drained",Zone 4: (-34 to -29 C),,2.0,1.5,,Yellow,"Showy, White, (male flowers white or creamy-white; female flowers greenish-white)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5060F4C0>
Canadian wild ginger,Moderate,"Deep shade, Filtered shade, Part sun/part shade","Acidic, Humus rich, Well-drained",Zone 3: (-40 to -34 C),,0.4,0.6,,,"Not showy, Purple, Brown, Dark-red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5034B520>
western wild ginger,Slow,"Deep shade, Filtered shade","Acidic, Bog, Humus rich",Zone 6: (-23 to -18 C),Moderate,0.2,0.3,,Dark-green,"Not showy, Red, Brown",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x934 at 0x7FBF51A94A60>
European wild ginger,Slow,"Deep shade, Filtered shade, Part sun/part shade","Acidic, Humus rich",Zone 4: (-34 to -29 C),Moderate,0.2,0.6,,Dark-green,"Not showy, Green, Purple, Brown",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51ED80D0>
"pawpaw, Custard apple",Moderate,Full sun,"Humus rich, Well-drained",Zone 6: (-23 to -18 C),Moderate,5,3,,Yellow,"Not showy, Purple, Dark-red, (somewhat violet)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51DBB310>
foxtail fern,Fast,"Full sun, Part sun/part shade","Acidic, Alkaline",Zone 9: (-7 to -1 C),Moderate,0.7,,,,"Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x850 at 0x7FBF519B24C0>
Sprengeri asparagus fern,Fast,"Full sun, Part sun/part shade",,Zone 9: (-7 to -1 C),High,0.1,1.5,,Green-yellow,"Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51EE7CD0>
asparagus,Fast,Full sun,,Zone 4: (-34 to -29 C),,1.3,1.5,,,"Not showy, White, Green",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51D45C40>
"Ming fern, pom pom asparagus fern",Moderate,"Full sun, Part sun/part shade",,Zone 9: (-7 to -1 C),High,2.0,2.0,,,"Not showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51DDD040>
plumosus fern,,,"Acidic, Alkaline",Zone 9: (-7 to -1 C),Moderate,0.4,1.0,"Green, Dark-green",Dark-green,"Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x835 at 0x7FBF51DE3D60>
"tree fern, African broom fern",,"Full sun, Part sun/part shade",,Zone 9: (-7 to -1 C),,1.3,1.0,,,"Showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51D13BB0>
bird's-nest fern,Fast,"Full sun, Part sun/part shade",Acidic,Zone 10: (-1 to 4 C),Moderate,2.0,1.0,,,No flowers,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51AEC7F0>
Hart's tongue fern,Slow,"Deep shade, Filtered shade, Full sun, Part sun/part shade","Alkaline, Well-drained",Zone 4: (-34 to -29 C),Low,0.4,0.6,,Dark-green,No flowers,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF503492E0>
common aster,Fast,Full sun,Well-drained,Zone 4: (-34 to -29 C),Moderate,1.3,1.0,"Green, Nearly Black, Purple","Dark-red, Purple","Showy, White, Pink, (Ray florets white, disk florets raspberry-red)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51F9BE80>
Frikart aster,Fast,Full sun,Well-drained,Zone 5: (-29 to -23 C),Low,0.7,1.0,,Green,"Showy, Yellow, Purple",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF52055970>
alpine aster,Moderate,Full sun,,Zone 5: (-29 to -23 C),,0.4,0.6,,,"Showy, Violet, Yellow, White, Purple, Black, Pink",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF502D2610>
"hybrid astilbe, garden astilbe",Fast,"Filtered shade, Full sun only if soil kept moist, Part sun/part shade","Bog, Humus rich",Zone 4: (-34 to -29 C),Moderate,0.7,0.6,"Green, Dark-green",Yellow,"Showy, White, Pink, Purple, Red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5027AC40>
Chinese astilbe,Fast,"Filtered shade, Full sun only if soil kept moist, Part sun/part shade",Well-drained,Zone 4: (-34 to -29 C),"Aquatic, High, Moderate, Wetlands",0.7,1.0,,Green-yellow,"Showy, White, Pink, Red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51AE2310>
shieldleaf rodgersia,Moderate,"Deep shade, Filtered shade, Full sun only if soil kept moist, Part sun/part shade","Humus rich, Well-drained",Zone 5: (-29 to -23 C),,1.3,1.5,,,"White, (creamy white)",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF502C9EB0>
"masterwort, astrantia",Fast,"Full sun, Part sun/part shade",Well-drained,Zone 3: (-40 to -34 C),Low,0.7,0.6,"Green, Green-yellow, images are of A. 'Sunningdale Variegated': lvs green and cream white",,"Showy, White, Pink, Red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF5004CC40>
lady fern,Fast,"Deep shade, Filtered shade, Full sun, Part sun/part shade","Bog, Humus rich",Zone 4: (-34 to -29 C),"Moderate, Wetlands",2.0,1.5,,"Yellow, Brown",No flowers,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51ADA2B0>
Japanese painted fern,Fast,"Deep shade, Filtered shade, Part sun/part shade","Humus rich, Well-drained",Zone 4: (-34 to -29 C),Low,0.7,0.6,,,No flowers,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50717D90>
common rock cress,Fast,"Full sun, Part sun/part shade",,Zone 5: (-29 to -23 C),,0.2,0.6,"Green, Silver / Grayish",,"White, Violet, Pink, Purple, Red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x934 at 0x7FBF51CB8B80>
"Japanese aucuba, Japanese laurel",Moderate,"Filtered shade, Part sun/part shade","Acidic, Humus rich, Well-drained",Zone 7: (-18 to -12 C),Low,3,3,"Green, Yellow","Green, Yellow","Not showy, Dark-red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51CAC070>
"perennial alyssum, basket-of-gold, gold dust alyssum",,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 4: (-34 to -29 C),Low,0.2,0.3,,,Yellow,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x934 at 0x7FBF51968FD0>
"Fairy moss, mosquito fern",Fast,"Full sun, Part sun/part shade",,Zone 7: (-18 to -12 C),Aquatic,0.1,0.1,"Green, Pink, Purple, bright green but may develop purplish-rose tints in full sun and then reddish-purple in fall","Purple, Red",No flowers,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50766370>
Tasmanian tree fern,Slow,"Deep shade, Filtered shade, Part sun/part shade, Sheltered",Humus rich,Zone 8b: (-9.4 to -7 C),High,5,4,,Yellow,,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x788 at 0x7FBF51DF7B80>
"vine spinach, Malabar spinach",Fast,Full sun only if soil kept moist,Humus rich,Zone 10: (-1 to 4 C),,2.0,1.0,,,"Showy, Pink, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51901520>
ponytail palm,Slow,Part sun/part shade,"Rocky or gravelly or dry, Well-drained",Zone 10: (-1 to 4 C),Low,2.0,2.0,,,"Not showy, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x934 at 0x7FBF51DCBF40>
"fibrous begonia, wax begonia",Slow,"Full sun, Part sun/part shade",Well-drained,Zone 10: (-1 to 4 C),Moderate,0.2,0.3,"Green, Bronze",,"Showy, White, Pink, Red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51D018B0>
"Dragon Wing begonia, foliage begonia",Fast,"Filtered shade, Full sun only if soil kept moist, Part sun/part shade","Humus rich, Well-drained",Zone 9: (-7 to -1 C),High,0.7,0.6,"Dark-green, Silver / Grayish",,"Showy, Dark-red, Yellow, Red, Pink",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x934 at 0x7FBF51CE0130>
tuberous begonia,Moderate,"Deep shade, Filtered shade, Part sun/part shade",Well-drained,Zone 10: (-1 to 4 C),Moderate,0.4,0.3,"Green, Dark-green, Bronze",,"Showy, Yellow, Orange, Pink, Red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51901DF0>
"Hiemalis begonia, Rieger begonia",Fast,"Full sun, Part sun/part shade",Well-drained,Zone 10: (-1 to 4 C),Moderate,0.4,0.6,"Green, Dark-green",,"Showy, White, Yellow, Orange, Pink, Purple, Red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x932 at 0x7FBF506D7880>
angel wing begonia,Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 9: (-7 to -1 C),Low,0.7,1.0,,,Red,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51F1BFA0>
"hardy begonia, giant begonia",Fast,"Deep shade, Filtered shade, Full sun only if soil kept moist, Part sun/part shade","Humus rich, Well-drained",Zone 7: (-18 to -12 C),High,0.7,1.5,"Silver / Grayish, Dark-green",,"Showy, Pink, White",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF506F71C0>
iron cross begonia,,"Part sun/part shade, Sheltered","Acidic, Alkaline, Well-drained",Zone 11: (above 4 C),Low,0.7,0.6,"Green, Brown, Dark blotch in centre",,"Showy, White, Pink",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF519C2A90>
rex begonia,Slow,"Part sun/part shade, Sheltered",Well-drained,Zone 10: (-1 to 4 C),Low,0.4,0.6,"Green, Pink, Red, Dark-green, Dark-red, Many cvs., with spots, zonation, etc.",,"Not showy, Pink",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51C57910>
English daisy,Fast,Full sun,Well-drained,Zone 4: (-34 to -29 C),Moderate,0.2,0.3,,,"Showy, White, Pink, Red",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51DDF070>
William Penn barberry,Moderate,"Full sun, Part sun/part shade","Rocky or gravelly or dry, Well-drained",Zone 5: (-29 to -23 C),Low,1.3,1.5,,"Dark-green, Bronze","Showy, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51E486D0>
barberry (GAZW),,Full sun,,Zone 5: (-29 to -23 C),,1.3,1.5,,,"Showy, Yellow",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF50676A30>
narrow-leaf barberry,Moderate,"Full sun, Part sun/part shade","Rocky or gravelly or dry, Well-drained",Zone 5: (-29 to -23 C),"Low, Moderate",3,3,,Dark-green,"Showy, Yellow, Orange",<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=700x933 at 0x7FBF51E64460>
