name,growth_rate,exposure,soil,hardiness,water
Red Bunny Tails ,Moderate,Full sun,Well-drained,Zone 7: (-18 to -12 C),Moderate
oriental fountain grass ,Fast,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 6: (-23 to -18 C),"Low, Summer dry, Winter dry"
fountain grass ,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 9: (-7 to -1 C),"Low, Moderate"
beard tongue ,Fast,"Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 3: (-40 to -34 C),"Low, Summer dry"
smooth beard tongue ,Fast,"Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 4: (-34 to -29 C),Low
watermelon peperomia,Moderate,Filtered shade,Well-drained,Zone 10: (-1 to 4 C),NA
emerald ripple peperomia,,,Well-drained,Zone 10: (-1 to 4 C),Low
"silver-leaf peperomia, platinum pepper ",,,Well-drained,Zone 10: (-1 to 4 C),Low
spoon leaf peperomia,,,Well-drained,Zone 10: (-1 to 4 C),Low
"baby rubber plant, blunt-leaved peperomia",,Part sun/part shade,Well-drained,Zone 10: (-1 to 4 C),Low
"cineraria , Senetti daisy ",Fast,Full sun,"Humus rich, Well-drained",Zone 9: (-7 to -1 C),High
Russian sage ,Fast,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 4: (-34 to -29 C),"Low, Summer dry"
dwarf fleeceflower ,Slow,"Filtered shade, Full sun, Part sun/part shade",,Zone 3: (-40 to -34 C),NA
mountain fleeceflower ,Fast,"Filtered shade, Full sun only if soil kept moist, Part sun/part shade","Humus rich, Well-drained",Zone 5: (-29 to -23 C),Moderate
lesser knotweed ,Fast,"Filtered shade, Full sun, Part sun/part shade",Well-drained,Zone 5: (-29 to -23 C),Moderate
"smartweed, lady's thumb",Fast,"Filtered shade, Full sun, Part sun/part shade",Well-drained,Zone 1: (below -46 C),Moderate
Red Dragon knotweed ,Fast,"Deep shade, Filtered shade, Full sun, Part sun/part shade",Well-drained,Zone 6: (-23 to -18 C),Moderate
Painter's Palette fleeceflower ,Fast,"Full sun only if soil kept moist, Part sun/part shade",,Zone 5: (-29 to -23 C),NA
butterbur,Fast,"Filtered shade, Full sun only if soil kept moist, Part sun/part shade",Bog,Zone 5: (-29 to -23 C),High
parsley ,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 5: (-29 to -23 C),Moderate
"petunia , Supertunia mini",Fast,Full sun,Well-drained,Zone 9: (-7 to -1 C),High
"fiddleneck, lacy phacelia",Fast,Full sun,Well-drained,Zone 3: (-40 to -34 C),Moderate
moth orchid ,Slow,Filtered shade,Well-drained,Zone 11: (above 4 C),NA
"reed canary grass, ribbon grass",Fast,"Full sun, Part sun/part shade","Acidic, Bog, Humus rich",Zone 4: (-34 to -29 C),Moderate
scarlet runner bean ,Fast,"Full sun, Part sun/part shade",,Zone 5: (-29 to -23 C),NA
"common bean, black bean, kidney bean, pinto bean, French bean ",Fast,"Full sun, Part sun/part shade",,Zone 5: (-29 to -23 C),NA
Japanese beech fern ,Moderate,"Deep shade, Filtered shade, Part sun/part shade","Acidic, Humus rich, Well-drained",Zone 6: (-23 to -18 C),Moderate
virginal mock orange ,Fast,"Full sun, Part sun/part shade",,Zone 5: (-29 to -23 C),NA
mock orange ,Moderate,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 4: (-34 to -29 C),Moderate
Lewis mock orange ,Moderate,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 4: (-34 to -29 C),Moderate
hybrid philodendron ,,,,Zone 10: (-1 to 4 C),Moderate
"tree philodendron, spilt-leaf philodendron, selloum",,"Filtered shade, Full sun only if soil kept moist, Part sun/part shade",Well-drained,Zone 9: (-7 to -1 C),Moderate
heart-leaf philodendron,Fast,"Filtered shade, Full sun only if soil kept moist, Part sun/part shade",Well-drained,Zone 10: (-1 to 4 C),Low
sticky Jerusalem sage ,Fast,Full sun,Well-drained,Zone 4: (-34 to -29 C),NA
annual phlox,,Full sun,,Zone 3: (-40 to -34 C),NA
"summer phlox, border phlox, common phlox",Fast,"Full sun, Part sun/part shade","Rocky or gravelly or dry, Well-drained",Zone 3: (-40 to -34 C),Moderate
"creeping phlox, moss phlox",Slow,"Full sun, Part sun/part shade","Rocky or gravelly or dry, Well-drained",Zone 2: (-46 to -40 C),Moderate
Pygmy date palm ,,,,Zone 9: (-7 to -1 C),NA
New Zealand flax ,Moderate,Full sun,Well-drained,Zone 8a: (-12 to -9.5 C),Low
photinia ,Fast,"Full sun, Part sun/part shade",Acidic,Zone 7: (-18 to -12 C),Moderate
cape fuchsia ,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 7: (-18 to -12 C),Low
goldstem bamboo ,Fast,"Filtered shade, Full sun, Part sun/part shade","Acidic, Humus rich, Well-drained",Zone 6: (-23 to -18 C),Low
blackstem bamboo ,Fast,"Filtered shade, Full sun, Part sun/part shade","Acidic, Humus rich, Well-drained",Zone 7: (-18 to -12 C),Moderate
Chinese lantern ,Fast,"Full sun, Part sun/part shade",,Zone 4: (-34 to -29 C),NA
tomatillo ,Fast,Full sun,,Zone 7: (-18 to -12 C),NA
"ninebark, common ninebark ",Fast,"Filtered shade, Full sun, Part sun/part shade","Acidic, Bog, Humus rich",Zone 6: (-23 to -18 C),Wetlands
"ninebark, common ninebark  ",Moderate,"Filtered shade, Full sun only if soil kept moist, Part sun/part shade","Acidic, Humus rich, Well-drained",Zone 3: (-40 to -34 C),Low
"obedient plant, false dragonhead ",,Full sun only if soil kept moist,,Zone 3: (-40 to -34 C),NA
nest spruce ,Slow,Full sun,Well-drained,Zone 3: (-40 to -34 C),NA
Acrocona Norway spruce ,Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 3: (-40 to -34 C),Low
cat tail spruce ,Slow,Full sun,,Zone 3: (-40 to -34 C),Low
Norway spruce ,Fast,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 3: (-40 to -34 C),Low
dwarf Alberta spruce ,Slow,,,Zone 2: (-46 to -40 C),NA
white spruce ,Fast,"Full sun, Part sun/part shade",,Zone 2: (-46 to -40 C),NA
weeping white spruce ,,,,Zone 3: (-40 to -34 C),NA
black spruce,Slow,"Full sun, Part sun/part shade","Acidic, Bog",Zone 2: (-46 to -40 C),NA
Meyer's spruce (seedling),,,,Zone 4: (-34 to -29 C),NA
Serbian spruce ,Slow,"Full sun, Part sun/part shade",,Zone 4: (-34 to -29 C),NA
oriental spruce ,Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 5: (-29 to -23 C),Low
blue globe Colorado spruce ,Slow,Full sun,,Zone 4: (-34 to -29 C),NA
"Colorado blue spruce, Colorado spruce ",Moderate,Full sun,Well-drained,Zone 3: (-40 to -34 C),Low
Sitka spruce ,Moderate,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 7: (-18 to -12 C),Moderate
lily-of-the-valley shrub ,Slow,"Filtered shade, Full sun, Part sun/part shade","Acidic, Well-drained",Zone 5: (-29 to -23 C),Moderate
aluminum plant,,"Filtered shade, Part sun/part shade",Humus rich,Zone 10: (-1 to 4 C),Low
"artillery plant, giant baby's tears ",,,Well-drained,Zone 10: (-1 to 4 C),Low
friendship plant ,Moderate,Filtered shade,Well-drained,Zone 11: (above 4 C),Low
creeping Charlie ,,,Well-drained,Zone 10: (-1 to 4 C),Low
bristlecone pine ,Slow,Full sun,Well-drained,Zone 4: (-34 to -29 C),Low
blue Swiss stone pine ,Slow,Full sun,Well-drained,Zone 4: (-34 to -29 C),Low
interior lodgepole pine (seedling),,,"Acidic, Bog",Zone 7: (-18 to -12 C),NA
shore pine ,Slow,Full sun,"Acidic, Well-drained",Zone 7: (-18 to -12 C),Low
Japanese red pine ,Moderate,Full sun,,Zone 5: (-29 to -23 C),NA
Japanese umbrella pine ,Slow,"Full sun, Part sun/part shade","Acidic, Humus rich, Well-drained",Zone 6: (-23 to -18 C),Moderate
weeping Japanese red pine ,Slow,Full sun,,Zone 5: (-29 to -23 C),NA
Vanderwolf's pyramid pine ,Slow,"Full sun, Part sun/part shade",Rocky or gravelly or dry,Zone 4: (-34 to -29 C),NA
Bosnian pine ,Moderate,Full sun,Well-drained,Zone 5: (-29 to -23 C),NA
Korean pine ,Fast,Full sun,,Zone 3: (-40 to -34 C),NA
western white pine (seedling),,,,Zone 4: (-34 to -29 C),NA
"mugo pine, Swiss mountain pine ",Slow,Full sun,"Acidic, Well-drained",Zone 2: (-46 to -40 C),Moderate
"Austrian pine, black pine  ",Slow,Full sun,Well-drained,Zone 3: (-40 to -34 C),Low
Japanese white pine ,Fast,Full sun,Well-drained,Zone 4: (-34 to -29 C),NA
"Ponderosa pine, yellow pine ",Moderate,Part sun/part shade,"Rocky or gravelly or dry, Well-drained",Zone 4: (-34 to -29 C),"Low, Summer dry"
red pine (seedling),Fast,Full sun,Well-drained,Zone 3: (-40 to -34 C),NA
"southwestern white pine, Mexican white pine ",Moderate,Full sun,Well-drained,Zone 8a: (-12 to -9.5 C),NA
eastern white pine ,Fast,,,Zone 3: (-40 to -34 C),NA
dwarf eastern white pine ,Slow,Full sun,Well-drained,Zone 3: (-40 to -34 C),Moderate
Scots pine ,Moderate,Full sun,"Acidic, Well-drained",Zone 2: (-46 to -40 C),Low
Scots pine (cultivars),Moderate,Full sun,"Acidic, Well-drained",Zone 2: (-46 to -40 C),Low
Japanese black pine ,,Full sun,"Acidic, Well-drained",Zone 6: (-23 to -18 C),Low
"Himalayan pine, Butan pine, blue pine ",,Full sun,"Acidic, Well-drained",Zone 6: (-23 to -18 C),NA
water lettuce ,Fast,Full sun,,Zone 9: (-7 to -1 C),High
garden pea ,Fast,"Full sun, Part sun/part shade",,Zone 2: (-46 to -40 C),NA
narrow-leaved plantain ,Fast,"Deep shade, Filtered shade, Full sun, Part sun/part shade",,Zone 7: (-18 to -12 C),NA
broad-leaved plantain ,Fast,"Full sun, Part sun/part shade",,Zone 4: (-34 to -29 C),NA
"oriental plane tree, oriental sycamore",Fast,Full sun,Well-drained,Zone 7: (-18 to -12 C),Moderate
London plane ,Fast,Full sun,Well-drained,Zone 6: (-23 to -18 C),Moderate
staghorn fern ,,"Filtered shade, Part sun/part shade",Well-drained,Zone 10: (-1 to 4 C),Low
"dwarf golden cedar, oriental arborvitae",Slow,"Full sun, Part sun/part shade",,Zone 6: (-23 to -18 C),NA
coleus ,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 9: (-7 to -1 C),Moderate
Swedish ivy ,Fast,"Full sun only if soil kept moist, Part sun/part shade",Well-drained,Zone 10: (-1 to 4 C),"High, Moderate"
"blue plumbago, cape leadwort ",,Full sun,Well-drained,Zone 8b: (-9.4 to -7 C),NA
creeping bluegrass ,Fast,,,Zone 5: (-29 to -23 C),NA
annual bluegrass ,Moderate,"Full sun, Part sun/part shade",,Zone 5: (-29 to -23 C),NA
Canada bluegrass ,Fast,Full sun,Acidic,Zone 3: (-40 to -34 C),NA
Kentucky bluegrass ,,,,Zone 3: (-40 to -34 C),NA
supina bluegrass ,,"Filtered shade, Part sun/part shade",,Zone 4: (-34 to -29 C),NA
"rough bluegrass, rough-stalked meadow grass ",Fast,"Filtered shade, Full sun only if soil kept moist, Part sun/part shade",,Zone 3: (-40 to -34 C),NA
Tasmanian podocarp ,Slow,"Filtered shade, Full sun",Well-drained,Zone 7: (-18 to -12 C),"Low, Moderate"
"Buddhist pine , Japanese yew ",Slow,,,Zone 7: (-18 to -12 C),Moderate
"alpine totara, mountain totara ",Moderate,"Filtered shade, Full sun",Well-drained,Zone 7: (-18 to -12 C),Moderate
Jacob's ladder ,Fast,"Full sun only if soil kept moist, Part sun/part shade",,Zone 3: (-40 to -34 C),NA
tuberose ,,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 8a: (-12 to -9.5 C),NA
Solomon's seal ,Fast,"Deep shade, Filtered shade, Part sun/part shade",,Zone 3: (-40 to -34 C),NA
prostrate knotweed ,Fast,Full sun,Rocky or gravelly or dry,Zone 5: (-29 to -23 C),NA
licorice fern ,Moderate,Filtered shade,,Zone 7: (-18 to -12 C),NA
Balfour aralia ,Slow,"Filtered shade, Part sun/part shade",,Zone 11: (above 4 C),NA
Ming aralia ,,,Well-drained,Zone 10: (-1 to 4 C),"Low, Moderate"
Braun's holly fern ,Fast,"Deep shade, Filtered shade, Part sun/part shade","Acidic, Humus rich, Well-drained",Zone 4: (-34 to -29 C),Moderate
western sword fern ,Moderate,"Filtered shade, Part sun/part shade","Acidic, Well-drained",Zone 4: (-34 to -29 C),Moderate
Japanese tassel fern ,Moderate,"Deep shade, Filtered shade, Part sun/part shade","Acidic, Humus rich, Well-drained",Zone 5: (-29 to -23 C),Moderate
hedge fern ,Fast,"Deep shade, Filtered shade, Part sun/part shade","Acidic, Humus rich, Well-drained",Zone 5: (-29 to -23 C),Moderate
Korean rock fern ,Moderate,"Deep shade, Filtered shade, Part sun/part shade","Acidic, Humus rich, Well-drained",Zone 6: (-23 to -18 C),Low
pickerel weed ,Fast,Full sun,,Zone 3: (-40 to -34 C),"Aquatic, Wetlands"
white poplar ,Fast,Full sun,Well-drained,Zone 4: (-34 to -29 C),Wetlands
"plains cottonwood , necklace poplar ",Fast,Full sun,Well-drained,Zone 2: (-46 to -40 C),"Low, Moderate"
Lombardy poplar ,Moderate,Full sun,Well-drained,Zone 3: (-40 to -34 C),Moderate
"columnar European aspen , columnar Swedish poplar ",Fast,Full sun,Well-drained,Zone 2: (-46 to -40 C),Moderate
"trembling aspen , white poplar  ",Fast,Full sun,,Zone 1: (below -46 C),NA
"black cottonwood , western balsam-poplar ",Fast,Full sun,Well-drained,Zone 5: (-29 to -23 C),"Low, Moderate"
portulaca,Fast,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 10: (-1 to 4 C),Low
purslane,Fast,"Full sun, Part sun/part shade","Rocky or gravelly or dry, Well-drained",Zone 9: (-7 to -1 C),Low
"potentilla, cinquefoil ",Moderate,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 2: (-46 to -40 C),"Low, Moderate"
"Asian cinquefoil, strawberry cinquefoil",Fast,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 3: (-40 to -34 C),Moderate
primrose ,Moderate,"Full sun only if soil kept moist, Part sun/part shade",Well-drained,Zone 4: (-34 to -29 C),Moderate
mountain cowslip ,,Part sun/part shade,"Rocky or gravelly or dry, Well-drained",Zone 3: (-40 to -34 C),Moderate
drumstick primrose ,Fast,"Full sun only if soil kept moist, Part sun/part shade",,Zone 2: (-46 to -40 C),High
fairy primrose ,,"Filtered shade, Full sun only if soil kept moist, Part sun/part shade",Humus rich,Zone 8a: (-12 to -9.5 C),Moderate
"primula, primrose ",Moderate,"Full sun only if soil kept moist, Part sun/part shade",Well-drained,Zone 4: (-34 to -29 C),Moderate
self-heal ,Fast,"Full sun, Part sun/part shade",Rocky or gravelly or dry,Zone 3: (-40 to -34 C),"Low, Summer dry"
Yoshino cherry ,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 5: (-29 to -23 C),NA
"flowering cherry, Kwanzan cherry, Kanzan cherry ",Moderate,Full sun,Well-drained,Zone 6: (-23 to -18 C),Moderate
ornamental cherry tree,Moderate,Full sun,Well-drained,Zone 6: (-23 to -18 C),Moderate
Mount Fuji cherry ,Moderate,Full sun,"Acidic, Humus rich, Well-drained",Zone 6: (-23 to -18 C),Moderate
American plum ,Moderate,Full sun,Well-drained,Zone 3: (-40 to -34 C),NA
"sweet cherry, bird cherry ",Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 5: (-29 to -23 C),Moderate
Pissard plum ,Fast,Full sun,Well-drained,Zone 5: (-29 to -23 C),NA
"English laurel, cherry laurel ",Moderate,Part sun/part shade,"Acidic, Well-drained",Zone 6: (-23 to -18 C),Moderate
Zabel laurel ,Moderate,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 6: (-23 to -18 C),Moderate
Otto Luyken laurel ,Moderate,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 6: (-23 to -18 C),Moderate
Portugal laurel ,Moderate,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 7: (-18 to -12 C),Low
European bird cherry ,Slow,Full sun,Well-drained,Zone 4: (-34 to -29 C),"Low, Moderate"
weeping Higan cherry ,,Full sun,,Zone 6: (-23 to -18 C),NA
chokecherry ,Slow,"Full sun, Part sun/part shade","Rocky or gravelly or dry, Well-drained",Zone 2: (-46 to -40 C),"Low, Moderate"
yellow corydalis ,Fast,Part sun/part shade,,Zone 5: (-29 to -23 C),NA
Douglas fir ,Moderate,Full sun,"Acidic, Well-drained",Zone 5: (-29 to -23 C),Moderate
"table fern, ribbon fern, Cretan brake fern ",,,,Zone 9: (-7 to -1 C),Moderate
"table fern, silver lace fern, variegated brake fern ",Moderate,"Filtered shade, Part sun/part shade",,Zone 9: (-7 to -1 C),NA
Caucasian wingnut ,Moderate,Full sun,Well-drained,Zone 5: (-29 to -23 C),Moderate
lungwort ,Moderate,"Deep shade, Filtered shade, Full sun only if soil kept moist, Part sun/part shade",,Zone 4: (-34 to -29 C),NA
antelope bitterbrush ,Moderate,"Full sun, Part sun/part shade",,Zone 6: (-23 to -18 C),NA
"pyracantha, scarlet firethorn ",Moderate,"Full sun, Part sun/part shade","Rocky or gravelly or dry, Well-drained",Zone 6: (-23 to -18 C),Moderate
Chinese firethorn ,Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 7: (-18 to -12 C),Moderate
"Formosa firethorn, Taiwan firethorn ",Fast,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 8a: (-12 to -9.5 C),"Low, Moderate"
"ornamental pear, Callery pear ",Moderate,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 5: (-29 to -23 C),NA
"European pear, common pear",Fast,Full sun,"Humus rich, Well-drained",Zone 4: (-34 to -29 C),Moderate
Asian pear ,Moderate,,,Zone 4: (-34 to -29 C),NA
willowleaf pear ,Moderate,"Full sun, Part sun/part shade",,Zone 4: (-34 to -29 C),NA
Regal Prince oak ,Fast,Full sun,"Acidic, Rocky or gravelly or dry, Well-drained",Zone 4: (-34 to -29 C),"Low, Summer dry"
sawtooth oak ,Slow,Full sun,Well-drained,Zone 5: (-29 to -23 C),NA
white oak ,Slow,Full sun,Rocky or gravelly or dry,Zone 3: (-40 to -34 C),"Low, Summer dry"
scarlet oak ,Fast,"Filtered shade, Full sun, Part sun/part shade","Acidic, Humus rich, Well-drained",Zone 4: (-34 to -29 C),Low
Garry oak ,Slow,Full sun,Rocky or gravelly or dry,Zone 7: (-18 to -12 C),"Low, Summer dry"
bur oak ,Slow,"Full sun, Part sun/part shade","Alkaline, Humus rich",Zone 2: (-46 to -40 C),Low
pin oak ,Fast,Full sun,"Acidic, Bog, Well-drained",Zone 5: (-29 to -23 C),"High, Moderate"
willow oak ,Moderate,"Full sun, Part sun/part shade",Well-drained,Zone 6: (-23 to -18 C),Wetlands
English oak ,Moderate,Full sun,Well-drained,Zone 5: (-29 to -23 C),Moderate
red oak ,Moderate,Full sun,Acidic,Zone 5: (-29 to -23 C),Moderate
China doll ,Moderate,"Full sun only if soil kept moist, Part sun/part shade",,Zone 10: (-1 to 4 C),Moderate
tall buttercup ,Fast,"Full sun, Part sun/part shade",,Zone 4: (-34 to -29 C),NA
"ranunculus, Persian buttercup ",,Full sun,,Zone 7: (-18 to -12 C),NA
"lesser celandine, pilewort ",Moderate,"Full sun, Part sun/part shade",,Zone 4: (-34 to -29 C),NA
creeping buttercup ,Fast,"Deep shade, Filtered shade, Full sun, Part sun/part shade",,Zone 3: (-40 to -34 C),NA
"scab plant, scabwort, common mat daisy ",Slow,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 8a: (-12 to -9.5 C),NA
radish ,Fast,Full sun,,Zone 2: (-46 to -40 C),NA
majesty palm ,Fast,,,Zone 9: (-7 to -1 C),Moderate
Chinese rehderodendron,,"Full sun, Part sun/part shade",,Zone 8a: (-12 to -9.5 C),NA
lady palm ,,"Deep shade, Filtered shade, Part sun/part shade",,Zone 9: (-7 to -1 C),Moderate
Chinese rhubarb ,Fast,"Full sun only if soil kept moist, Part sun/part shade","Bog, Humus rich",Zone 5: (-29 to -23 C),NA
rhubarb ,Fast,Full sun,Humus rich,Zone 3: (-40 to -34 C),NA
azalea ,,"Full sun, Part sun/part shade",Acidic,Zone 6: (-23 to -18 C),High
Blue Diamond rhododendron,Slow,"Filtered shade, Full sun, Part sun/part shade","Acidic, Well-drained",Zone 6: (-23 to -18 C),Moderate
Hino Crimson azalea ,Slow,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 8a: (-12 to -9.5 C),Moderate
PJM rhododendron,Slow,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 4: (-34 to -29 C),Moderate
Snow Lady rhododendron,Slow,"Filtered shade, Full sun, Part sun/part shade","Acidic, Well-drained",Zone 5: (-29 to -23 C),Moderate
Unique rhododendron,Slow,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 6: (-23 to -18 C),Moderate
"pink hose in hose azalea, Kurume evergreen azalea ",Moderate,,"Acidic, Humus rich",Zone 6: (-23 to -18 C),NA
rhododendron ,Slow,"Deep shade, Filtered shade, Part sun/part shade","Humus rich, Well-drained",Zone 6: (-23 to -18 C),Low
azalea,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 3: (-40 to -34 C),NA
Cunningham's White rhododendron,Moderate,"Filtered shade, Full sun, Part sun/part shade",,Zone 6: (-23 to -18 C),NA
purple splendor azalea,Slow,"Filtered shade, Part sun/part shade","Acidic, Humus rich, Well-drained",Zone 5: (-29 to -23 C),Moderate
Ramapo rhododendron,Moderate,"Filtered shade, Full sun, Part sun/part shade",,Zone 5: (-29 to -23 C),NA
red rhododendron,Moderate,"Full sun, Part sun/part shade",Acidic,Zone 6: (-23 to -18 C),NA
Labrador tea ,Moderate,"Filtered shade, Full sun, Part sun/part shade",Bog,Zone 3: (-40 to -34 C),Wetlands
impeditum rhododendron,Slow,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 5: (-29 to -23 C),Moderate
Pacific rhododendron,Slow,"Deep shade, Filtered shade, Part sun/part shade","Humus rich, Well-drained",Zone 6: (-23 to -18 C),Low
"starflower, red-star ",,Full sun,,Zone 11: (above 4 C),NA
black jetbead ,Moderate,"Filtered shade, Full sun, Part sun/part shade",Well-drained,Zone 4: (-34 to -29 C),Moderate
smooth sumac ,Moderate,"Full sun, Part sun/part shade",Acidic,Zone 3: (-40 to -34 C),Moderate
staghorn sumac ,Moderate,"Full sun, Part sun/part shade","Rocky or gravelly or dry, Well-drained",Zone 3: (-40 to -34 C),Low
alpine currant ,Moderate,Full sun,Well-drained,Zone 2: (-46 to -40 C),Moderate
"coast black gooseberry, spreading gooseberry  ",Fast,"Filtered shade, Full sun only if soil kept moist, Part sun/part shade",Well-drained,Zone 5: (-29 to -23 C),NA
black currant ,Fast,"Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 5: (-29 to -23 C),Moderate
"flowering currant, winter currant ",Moderate,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 7: (-18 to -12 C),Moderate
gooseberry ,Fast,Full sun,Well-drained,Zone 5: (-29 to -23 C),NA
castor bean ,Fast,Full sun,,Zone 9: (-7 to -1 C),NA
black locust ,Moderate,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 4: (-34 to -29 C),Low
fingerleaf rodgersia,Fast,Part sun/part shade,Humus rich,Zone 5: (-29 to -23 C),Wetlands
finger-leafed rodgersia,,"Full sun only if soil kept moist, Part sun/part shade",,Zone 5: (-29 to -23 C),NA
Dublin Bay rose ,Fast,Full sun,"Humus rich, Well-drained",Zone 5: (-29 to -23 C),Low
polyantha rose ,Moderate,"Full sun, Part sun/part shade",,Zone 5: (-29 to -23 C),NA
"Golden Wings rose, hybrid pimpinellifolia shrub rose ",,Full sun,,Zone 4: (-34 to -29 C),NA
Meidiland carpet rose  ,,Full sun,,Zone 3: (-40 to -34 C),NA
"cut flower rose, miniature potted rose ",Fast,Full sun,,Zone 5: (-29 to -23 C),Moderate
"Ballerina rose, hybrid musk rose ",Fast,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 5: (-29 to -23 C),Low
Bonica rose ,Fast,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 4: (-34 to -29 C),Low
Jacqueline du Pre rose ,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 5: (-29 to -23 C),NA
Nootka rose ,Fast,"Full sun, Part sun/part shade","Humus rich, Rocky or gravelly or dry",Zone 4: (-34 to -29 C),Low
rugosa rose ,Fast,Full sun,"Acidic, Rocky or gravelly or dry",Zone 2: (-46 to -40 C),Low
"native rose, Wood's rose ",Fast,"Full sun, Part sun/part shade",,Zone 4: (-34 to -29 C),NA
Himalayan blackberry ,Fast,"Full sun, Part sun/part shade",,Zone 5: (-29 to -23 C),NA
thornless blackberry ,Fast,Full sun,Well-drained,Zone 6: (-23 to -18 C),Moderate
raspberry ,Fast,Full sun,Well-drained,Zone 5: (-29 to -23 C),Low
evergreen blackberry ,Fast,"Full sun, Part sun/part shade",,Zone 3: (-40 to -34 C),NA
thimbleberry ,Moderate,"Filtered shade, Full sun, Part sun/part shade","Rocky or gravelly or dry, Well-drained",Zone 3: (-40 to -34 C),Low
"Formosan Carpet rubus, creeping Taiwan bramble ",Fast,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 7: (-18 to -12 C),Moderate
salmonberry ,Moderate,"Full sun, Part sun/part shade","Acidic, Well-drained",Zone 5: (-29 to -23 C),Low
boysenberry ,Fast,Full sun,Well-drained,Zone 7: (-18 to -12 C),Moderate
black-eyed Susan ,Fast,"Full sun, Part sun/part shade","Rocky or gravelly or dry, Well-drained",Zone 4: (-34 to -29 C),Moderate
"black-eyed Susan, gloriosa daisy",Fast,"Full sun, Part sun/part shade",Well-drained,Zone 4: (-34 to -29 C),Moderate
autumn sun coneflower ,Fast,"Full sun, Part sun/part shade",Well-drained,Zone 3: (-40 to -34 C),Moderate
"Green Wizard coneflower, western coneflower",Fast,"Full sun, Part sun/part shade",,Zone 3: (-40 to -34 C),NA
Mexican petunia ,,"Full sun, Part sun/part shade",Humus rich,Zone 9: (-7 to -1 C),NA
"garden sorrel, sheep sorrel ",Moderate,"Full sun, Part sun/part shade",,Zone 4: (-34 to -29 C),NA
curled dock ,Fast,"Filtered shade, Full sun, Part sun/part shade",,Zone 6: (-23 to -18 C),"Low, Moderate"
"bloody dock, red veined dock ",Fast,"Filtered shade, Full sun, Part sun/part shade","Humus rich, Well-drained",Zone 4: (-34 to -29 C),"Low, Moderate"
leatherleaf fern ,,Filtered shade,,Zone 9: (-7 to -1 C),NA
common rue ,Moderate,Full sun,,Zone 4: (-34 to -29 C),"Low, Summer dry"
"hardy pampas grass, ravenna grass  ",Moderate,Full sun,,Zone 5: (-29 to -23 C),NA
birdeye pearlwort ,Moderate,"Filtered shade, Full sun, Part sun/part shade",,Zone 4: (-34 to -29 C),NA
"Irish moss, pearlwort  (vs. Scotch moss, moss sandwort)",Slow,Full sun,"Rocky or gravelly or dry, Well-drained",Zone 3: (-40 to -34 C),Low
"Wapato, arrowhead, duck potato ",Fast,Full sun,Bog,Zone 5: (-29 to -23 C),High
African violet ,Moderate,"Deep shade, Filtered shade, Part sun/part shade",Well-drained,Zone 11: (above 4 C),Low
weeping willow ,Fast,Full sun,Bog,Zone 6: (-23 to -18 C),High
corkscrew willow ,Fast,"Filtered shade, Full sun, Part sun/part shade",,Zone 5: (-29 to -23 C),"Aquatic, High"
weeping pussy willow ,Moderate,Full sun,Well-drained,Zone 4: (-34 to -29 C),High
"native willow, pussy willow ",Fast,"Full sun, Part sun/part shade",Bog,Zone 6: (-23 to -18 C),"High, Wetlands"
